CPD-1106	C03557
DIACETYL	C00741
BENZYLSUCCINATE	C09816
CPD-19881	C21610
CPDQT-35	C17230
CPD-7030	C03467
CPD-18465	C09145
LIPOAMIDE	C00248
CPD-782	C01161
7-DEOXYLOGANIN	C06071
CPD-19135	C21285
CPD-15506	C16497
CPD-15798	C21631
CPD-8549	C16581
CPD-14703	C10458
|Dihydrocarveols|	C18017
CPD-8636	C12088
CPD-210	C02993
5Z13E-9-ALPHA-HYDROXY-1115-DIOXOPROS	C04758
35-DIBROMO-4-HYDROXY-BENZOATE	C03925
CHONDROITIN-4-SULFATE	C00634
CPD-3631	C10502
1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA	C11557
CPD-12601	C02209
CPD-12064	C11351
CPD-14191	C18005
CPD-7602	C19154
THZ-P	C04327
CPD-10547	C02803
BACCATIN-III	C11900
2-ETHYLHEXAN-1-OL	C02498
CPD-4206	C16430
CPD-7224	C15532
CPD-9269	C08265
|Charged-THR-tRNAs|	C02992
2-ARYLPROPIONATE	C06389
ALPHA-D-GALACTOSYL-ETCETERA-GLUCOSAMINYL	C04855
CPD-14514	C10168
ETHANOL-AMINE	C00189
R--ALLANTOIN	C02348
5-AMINO-4-CHLORO-2-2-HYDROXYMUCONOYL-3	C05155
FORMALDEHYDE	C00067
CPD-20215	C21700
CPD1A0-6117	C12436
CPD-19995	C16281
CPD-14362	C13569
THYMIDINE	C00214
CPD-8707	C11886
ADP-D-GLUCOSE	C00498
CPD-106	C03198
CPD-16667	C20834
CPD-4241	C11810
DIVINYL-PROTOCHLOROPHYLLIDE-A	C11831
CPD-623	C01751
S-PRENYL-L-CYSTEINE	C06751
SULFO-CYSTEINE	C05824
ALGINATE	C01768
CPD-10224	C12212
CPD-10226	C12214
CPD-10044	C11402
CPD-19437	C12187
CPD-16808	C20844
CPD-13621	C20399
CPD-15445	C08946
3H1INDANONE	C07720
CPD-14594	C08333
CPD-17778	C13452
D-PROLINE	C00763
CPD-9231	C06665
CPD-7733	C21330
CPD-14466	C20409
CPD-357	C01489
CPD-15474	C15109
CPD-8346	C03916
CPD-8892	C00909
CPD-469	C01250
CIS-3-HEXENAL	C16310
CPD-17105	C05776
CPD-13004	C00873
CPD0-2018	C02376
CPD-417	C02821
CPD-10375	C15693
CPD-6365	C15770
3-2-METHYLTHIOETHYLMALIC-ACID	C17212
CPD-20725	C09457
CPD-338	C16590
CPD-4889	C09873
CPD-710	C15787
CPD-10420	C06676
LOGANIN	C01433
CPD-283	C04226
CPD-12041	C20369
CPD-1961	C17590
FRU	C00095
CPD-63	C01533
CPD-19294	C09614
PHORBOL-13-BUTANOATE	C03019
1-2-DIPALMITOYLPHOSPHATIDYLCHOLINE	D03585
SO3	C00094
CPD-9457	C17435
PHTHALATE	C01606
CPD-316	C01007
S-METHYL-1-THIO-D-GLYCERATE	C03804
HOP-2229-ENE	C06310
LICODIONE	C01592
CPD-12750	C16504
CPD-13908	C18870
XANTHOSINE	C01762
DIMETHYLSULFONIOACETATE	C03392
CPD-7847	C08580
CPD-18427	C06080
CPD-12880	C19741
PROPANOL	C05979
CPD-13654	C19933
DIHYDROMONACOLIN-L	C15536
CPD-14796	C20476
CPD-7844	C16307
CPD-178	C04520
CPD4FS-7	C13456
|Charged-ASP-tRNAs|	C02984
CPD-8630	C02100
CANAVANINE	C00308
CPD-15309	C03212
4-HYDROXYPHENYLACETATE	C13636
GLN	C00064
TARTRATE	C00898
CPD-13830	C11994
N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID	C04498
4-AMINO-4-DEOXYCHORISMATE	C11355
3-KETOBUTYRATE	C00164
CPD-17180	C21069
CPD-764	C05682
CPD-18846	C21433
CPD-15896	C14120
ERGOSTEROL	C01694
AMINO-HYDROXYMETHYL-METHYL-PYR-P	C04556
S-RETICULINE	C02105
RHAMNOSE	C02476
CPD-1771	C04390
CPD-4122	C16223
18-HYDROXYCORTICOSTERONE	C01124
CPD-483	C04739
CPD0-1112	C02338
CPD-18294	C21168
CPD-4443	C16441
FERROCYTOCHROME-B5	C00999
3-KETOLACTOSE	C05403
ADP-MANNOSE	C06192
574-TRIHYDROXY-3-METHOXYFLAVONE	C04293
CPD-10284	C05261
CPD-5582	C12285
NICOTINAMIDE_NUCLEOTIDE	C00455
CPD-10368	C15692
|L-Methionine-sulfoxides|	C02989
CPD-8804	C20275
|Oxidized-flavodoxins|	C02869
CPD-10280	C16529
CPDQT-300	C17254
CPD-15735	C12433
CPD-655	C03961
6-HYDROXYCYCLOHEX-1-ENE-1-CARBONYL-COA	C06749
CPD-9151	C05618
3-METHYLXANTHINE	C16357
CPD-15279	C20995
CPD-15777	C04905
CPD-12020	C05660
3-INDOLYLGLYCOLALDEHYDE	C03230
CPD-12602	C03624
ACETALD	C00084
PHORBOL-1213-DIBUTANOATE	C03634
CPD0-2443	C12276
CPD-8157	C13875
CPD-7969	C07287
CPD-597	C00436
CPD-861	C03246
CPD-8849	C19735
CPD-492	C02726
3-KETO-L-GULONATE	C00618
CPD-8729	C09118
MG+2	C00305
|Acylcholines|	C01777
CPD-6361	C12312
CPD0-1392	C06911
CPD-9043	C11542
CPD-16585	C17647
CPD-88	C06035
MESACONATE	C01732
CPD-14318	C21133
CPD-8649	C03531
CPD-14264	C20412
QUINOLIN-21H-ONE	C06415
CPD-4208	C16431
CPD-13928	C20233
CPD-12614	C15879
CPD-884	C02378
CPD-6964	C10276
CPD-7865	C16302
CPD-7535	C19764
16-ALPHA-HYDROXYPROGESTERONE	C03748
4-OXALOMESACONATE	C04434
DEOXYLIMONATE	C02027
3-DEMETHYLSTAUROSPORINE	C07349
CPD-10034	C11416
CPD-352	C00951
CPD-20250	C21708
DTDP-DEOH-DEOXY-MANNOSE	C00688
XANTHURENATE	C02470
CPD-1834	C04554
2-METHYL-3-HYDROXY-BUTYRYL-COA	C04405
CPD-15555	C21619
6-PYRUVOYL-5678-TETRAHYDROPTERIN	C03684
CPD-15344	C20646
DI-H-URACIL	C00429
CPD-8774	C07209
ALPHA-GLUCOSE-16-BISPHOSPHATE	C01231
D-GLUCARATE	C00818
CPD-12906	C16471
CPD-18835	C14350
CPD-11241	C04733
CPD-20259	C21735
DEOXYADENOSINE	C00559
CPD-17518	C06681
36-DICHLOROCATECHOL	C07094
CPD-366	C11536
CPD-17200	C20594
CPD-557	C16011
CPD-556	C03855
CPD-13248	C20309
ISO-PROPANOL	C01845
CPD-734	C08491
CPD-15973	C05396
6-O-BETA-D-XYLOPYRANOSYL	C08245
CPD-11623	C19783
BETAINE-ALDEHYDE-HYDRATE	C07345
CPD-12504	D01392
CPD-10679	C18012
CPD-13396	C20811
CPD-13041	C00841
CPD-1002	c06576
CPD-17012	C21569
CPD-14248	C20357
NACMUR	C02713
CGMP	C00942
CPD-763	C06697
CPD-12949	C18678
CPD-12960	C18638
HISTAMINE	C00388
CPD-13957	C12444
CPD-15551	C21398
|HIS-tRNAs|	C01643
XYLITOL	C00379
CPD-13841	C11908
CPD-8004	C10084
CPD-44	C03727
CPD-8737	C19748
AMINO-PARATHION	C06605
CPD-16677	C12371
CPD-11940	C12124
2-KETO-3-METHYL-VALERATE	C00671
CPD-14355	C18711
5-AMINOPENTANOATE	C00431
1-ALKYL-GLYCERONE-3-PHOSPHATE	C03715
|Core1|	C04656
2-KETO-3-DEOXY-6-P-GLUCONATE	C04442
CPD-15438	C08897
CPD-16821	C02180
CPD-68	C01234
CPD-10707	C19753
|Pyruvate-dehydrogenase-lipoate|	C15972
HOMOARGININE	C01924
L-1-GLYCERO-PHOSPHORYLCHOLINE	D07349
|2-Lysophosphatidylcholines|	C04230
LUTEOLIN-7-O-BETA-D-GLUCURONIDE	C03515
CPD-267	C03004
8-HYDROXYQUINOLINE	C19434
CPD-7610	C08980
CPD-6182	C04521
CPD-6947	C13309
CPD-252	C04797
CPD-824	C03771
CPD-678	C01528
|Reduced-Flavoproteins|	C03024
CPD-431	C01477
CPD-13855	C20183
|Protein-tyrosine-O-sulfates|	C03721
CPD-2046	C14809
CPD-1776	C06387
CPD-7071	C09756
ISOFLAVONE	C00799
CPD-16906	C20852
CPD-14803	C20481
CPD-603	C02512
CPD-397	C03172
CPD-512	C03731
CPD-11497	C05594
CPD-881	C02110
CPD-7526	C15857
CPD-53	C04529
CPD-354	C02977
CPD-9371	C17367
CPD-708	C15784
CPD-14392	C16163
ALL-TRANS-HEXAPRENYL-DIPHOSPHATE	C01230
PROCOLLAGEN-L-LYSINE	C16740
|Aliphatic-Nitriles|	C16072
CPD-4406	C10422
CPD-944	C21150
|Hpr-Histidine|	C00615
PUTRESCINE	C00134
CPD-15483	C10032
CHLORITE	C01486
3-OXO-5-BETA-CHOLANATE	C03070
OXIDIZED-WATASEMIA-LUCIFERIN	C03888
CPD-7238	C05452
CPD-10088	C07031
CPD-8803	C09648
N1-METHYLADENINE	C02216
CPD0-2231	C01344
CPD-7164	C11675
CPD-12079	C19674
CPD-12212	C18069
CPD-3041	C08650
GLYCERALD	C00577
1-HYDROXY-2-BETA-D-GLUCOSYLOXY-910-AN	C04719
CPD-1091	C00603
DEACETYLCEPHALOSPORIN-C	C03112
AZIRIDINE	C11687
CPD-20145	C09688
CPD-11466	C15903
|Thyroglobulin-L-tyrosines|	C16733
L-OCTANOYLCARNITINE	C02838
CPD-8711	C11885
TAGATOSE	D09007
CPD-105	C05343
CPD-11752	C19701
CPD-3343	C12125
STIPIT-CPD	C01853
CPD-14601	C20380
CPD-6082	C02229
S-METHYLGLUTATHIONE	C11347
CPDQT-262	C17253
CPD-13821	C18846
CPD0-1033	C05342
CPD-1008	c06582
N-ACETYL-NEURAMINATE-9P	C06241
CROTONATE	C01771
PHOSPHORIBOSYL-ATP	C02739
CPD0-1905	C19967
1236-TETRAKIS-O-GALLOYL-BETA-D-GLUCOS	C04516
ACRYLATE	C00511
CPD-1301	C04144
CPD-9935	C17591
CPD-19714	C21723
CPD-790	C00848
CPD-14214	C17702
CPD-9454	C17437
20S22S25S-2225-EPOXYFUROST	C04715
CPD-15932	C15683
PROCOLLAGEN-3-HYDROXY-L-PROLINE	C04397
CPD0-2472	C20482
CPD-15224	C20640
CPD-14496	C08988
CPD-16643	C12378
CPD-4822	C00825
PROPIONYL-COA	C00100
CPD-19275	C18295
CPD-13242	C08250
CPD-9229	C07761
CPD-10143	C01023
PRECURSOR-Z	C18239
DIHYDROXYINDOLE	C05578
421-DEHYDROGEISSOSCHIZINE	C03677
DIHYDROXYPENTANEDIONE	C16421
PHENYLGLYOXYLATE	C02137
111-TRICHLOROETHANE	C18246
D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE	C07836
CPD-18095	C20494
CPD-13384	C18034
CPD-7163	C04665
CPD-946	C02499
CPD-14521	C21123
CPD-112	C01467
CPD-15052	C08726
CPD-9387	C20638
CIS-P-COUMARATE	C06738
CPD-17095	C21026
CPD-10570	C07711
OXALO-SUCCINATE	C05379
CPD0-1227	C12059
CPD-9984	C12219
CPD-9249	C20725
CPD-8785	C06099
CPD0-2362	C20062
2-2-HYDROXYACYLSPHINGOSINE	C03823
CPD-14091	C21154
3-HYDROXY-5917-TRIOXO-45910-DISECOA	C04844
N-ACETYL-D-MANNOSAMINE-6P	C04257
CPD-11725	C03349
CPD-17129	C20903
CPD-547	C03761
CPD-17199	C20532
CPD-724	C15803
CPD-15099	C02961
CPD-8184	C10028
CPD-13713	C05686
CPD-14660	C09059
CPD-611	C03028
CPD-485	C03709
KYNURENATE	C01717
CIS-N-METHYL-S-781314-TETRAHYDROPRO	C05318
3-P-SERINE	C01005
CPD-17912	C03264
VAL	C00183
CPD-13575	C20246
L-PHOSPHATIDATE	C00416
OH	C01328
CPD-12841	C16716
CPD-5742	C07536
AICAR	C04677
CPD-4126	C15783
CPD-12950	C18679
CPD-4523	C07228
CTP	C00063
CPD-491	C03115
2-KETO-6-ACETAMIDOCAPROATE	C05548
CPD-9664	C17694
HYDROXYATRAZINE	C06552
ANDROST4ENE	C00280
CPD-20206	C21771
MEVALONATE-DP	C20848
HEPARIN-GLUCOSAMINE	C02834
CPD-17004	C01573
CPD-3707	C02353
OXALYL-COA	C00313
ALPHA-N-ACETYLNEURAMINYL-28-ETCETERA	C04887
2-DEHYDRO-3-DEOXY-D-FUCONATE	C06159
CPD-1126	C03409
CPD-8548	C02143
CPD-8669	C17062
CPD-17772	C10236
2-NUCLEOTIDYLGENTAMICIN	C03565
CPD-7239	C13550
RIFAMYCIN-B	C01848
CPD-12877	C09849
CPD-10662	C20432
|11-Beta-Hydroxysteroids1|	C01058
CPD-2022	C06326
THIOMORPHOLINE-3-CARBOXYLATE	C03901
D-TARTRATE	C02107
CPD-15002	C12646
CPD-18941	C10931
245-DNOL	C06598
CPD-12221	C18447
CPD-191	C04507
CPD0-2124	C07597
CPD-13489	C20560
CPD-20498	C14176
CPD-7110	C10706
COPROPORPHYRINOGEN_I	C05768
CPD-16726	C16748
CPD-2046	C04843
CPD-20613	C07013
CPD-8190	C04215
CPD-10708	C19754
D-MANNONATE	C00514
3-METHYL-CROTONYL-COA	C03069
CPD-14367	C21793
PREGNENOLONE	C01953
CPD-13584	C00177
PENTAN-2-ONE	C01949
CPD-20732	C06837
CPD-380	C05528
CPD-10117	C19963
CPD-14387	C20332
CPD-11568	C14808
CPD-20634	C07148
CPD-20638	C07666
CPD-16452	C20893
SYRINGETIN	C11620
CPD-14086	C20277
CPD0-2101	C21007
|Light|	C00205
CPD-14142	C01737
CPD-921	C05526
|Protein-Dithiols|	C02315
CPD-518	C02744
R-NICOTINE	C16386
CPD-8066	C08238
CPD-8968	C18397
L-ARGININO-SUCCINATE	C03406
CPD-10180	C16207
CPD-17516	C18629
CPD-4210	C00371
L-RHAMNONO-14-LACTONE	C02991
CPD-15881	C08887
CPD-9938	C06537
CPD-12345	C04339
ACTINOMYCINIC-MONOLACTONE	C03597
|Heparan-NAc-glucosaminide|	C04649
ENOL-PHENYLPYRUVATE	C02763
LIPOYL-AMP	C16238
CPD-8891	C02912
CPD-10415	C15830
|Nucleoside-Diphosphates|	C00454
GLOBOMYCIN	C01700
CPD-16562	C07018
CPD-12496	C16253
|Core2|	C04902
CPD-8283	C13877
CPD-8655	C08544
CPD-9224	C07334
UDP-D-GLUCOSAMINE	C02200
CPD-10	C18798
CPD-10455	C16394
CPD-13754	C20838
|Protein-S-methyl-L-cysteine|	C03800
|CYS-tRNAs|	C01639
CPD-9152	C02375
CPD-318	C01041
N-METHYLANTHRANILOYL-COA	C12092
CPD-19223	C09674
CPD-8062	C16406
DIAMINONONANOATE	C01037
D-6-P-GLUCONO-DELTA-LACTONE	C01236
CPD-10418	C06674
UROPORPHYRINOGEN-III	C01051
CPD-14269	C16532
CPD-19428	C12193
CPD-17021	C21147
CPD-13530	C18345
5-UREIDO-4-IMIDAZOLE_CARBOXYLATE	C05515
1-RADYL-2-ACYL-SN-GLYCERO-3-PHOSPHOLIPID	C05217
ATPGAMMAS	C13742
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	C03373
CPD-14320	C21131
PALMITATE	C00249
CPD-12364	C07541
CPD-484	C03462
CPD-8699	C18211
3-OXOPALMITOYL-COA	C05259
|Alkyl-acetyl-glycero-phosphocholines|	C04598
POLYNEURIDINE-ALDEHYDE	C11632
CPD-12099	C20736
CPD-5881	C15522
CPD-8847	C20701
ALDOSTERONE	C01780
CPD-16889	C06763
CPD-12953	C12402
ECTOINE	C06231
D-4-HYDROXYPHENYLGLYCINE	C03493
BIS-P-NITROPHENOLPHOSPHATE	C03779
SINAPOYLTARTRONATE	C02750
CPD-17697	C10826
CPD-13205	C02013
CPD-8668	C17055
CPD-11879	C05580
CPD-14427	C03093
CPDQT-286	C08401
|Myelin-L-arginines|	C05207
S-ACETYLDIHYDROLIPOAMIDE	C01136
24-DICHLORO-25-DIHYDRO-5-OXOFURAN-2-AC	C04625
CPD-20138	C21695
CPD-20578	C21777
CPD-9158	C20669
CPD-17712	C21065
AMINO-ACETONE	C01888
CPD-330	C01115
3-34-DIHYDROXYPHENYLLACTATE	C01207
CPD-15435	C20641
CPD-9096	C05798
2-METHYL-6-SOLANYL-14-BENZOQUINONE	C17570
CPD-14396	C19097
CPD-10116	C19836
CPD-10168	C20503
ALLYL-ALCOHOL	C02001
CPD-10505	C17343
CPD-247	C04480
CPD-596	C03626
CPD-10170	C20505
CPD-1701	C03660
CHLOROACETIC-ACID	C06755
CPD-443	C03312
CPD-10419	C06675
CPD-9343	C18700
CPD-5962	C05479
CPD-15943	C12003
CPD-11975	C19761
CPD-11419	C17017
CPD-14743	C06345
OBTUSIFOLIOL	C01943
CPD-15280	C05575
ANDROSTERONE	C00523
CPD0-1148	C04203
CPD-3321	C16138
DITHIOTHREITOL	C00265
N-METHYL-RS-TETRAHYDROBENZYLISOQUINOL	C05314
CPD-20081	C21677
3-HYDROXY-ETCETERA-CARBOXYLATE	C04773
CPD-481	C03640
CPD-369	C01507
CPD-5581	C12283
CPD-7770	C18494
DIMETHYLAMINE	C00543
CPD-7064	C18098
CPD-8672	C17753
CPD-10332	C06095
CPD-562	C03548
ARACHIDONYL-COA	C02249
|D-Amino-Acids|	C00405
|Nitriles|	C00726
N-HYDROXYL-TRYPTAMINE	C17203
CPD-13930	C20250
CPD-13137	C01895
C4	C04851
CPD0-2339	C20253
PUROMYCIN	C01610
3-BETA-D-GLUCOSYLGLUCOSE	C01518
CPD-10793	C16849
L-GLYCERALDEHYDE	C02426
CPD-7650	C05587
F-	C16487
CPD-10267	C05274
CPD-12646	C16180
CPD-8241	C19908
TAGATOSE-6-PHOSPHATE	C01097
CPD-17493	C21399
CPD-10241	C12176
ENT-COPALYL-DIPHOSPHATE	C06089
CPD-15582	C09814
CPD-674	C00423
UDP-D-XYLOSE	C00190
CPD-14511	C19983
CPD-17201	C20595
CPD-12334	C19879
TRIETHYLAMINE	C14691
CPD-15852	C14812
CPD-3425	C16191
CPD-10147	C01854
CPD-1827	C01920
ETHYL-ACETOACETATE	C03500
CPD-18624	C21445
CPD-12498	C17733
CPD-11748	C17951
GUANOSINE	C00387
CPD-1006	C06580
CPD-9915	C16147
|R-2-Haloacids|	C15564
CPD-8068	C12635
CPD-11468	C15900
CPD-17517	C12416
CPD-2043	C02099
NALPHA-GAMMA-L-GLUTAMYLHISTAMINE	C04138
CPD-656	C02237
CPD-8756	C11382
10-HYDROXYDIHYDROSANGUINARINE	C05247
CPD-11393	C20179
TETRA-H-BIOPTERIN	C00272
GLYCOPROTEIN-ETCETERA-GLUCOSAMINYL-PHOSP	C04755
3-B-D-GALACTOSYL-SN-GLYCEROL	C05401
CPD-11700	C11174
CELLOTRIOSE	C06219
|3-Oxosteroids|	C01876
CPD-7995	C06179
BENZYL-2R3S-2-METHYL-3-HYDROXYBUTANOA	C04561
3-HYDROXY-ISOBUTYRATE	C01188
LIPID-IV-A	C04919
CPD-9319	C10793
CPD0-2479	C20422
CPD-10484	C17010
ADENOSINE_DIPHOSPHATE_RIBOSE	C00301
CPD-16628	C20806
C6	C05898
CPD0-2467	C20960
CPD-1111	C00789
CPD-7024	C15474
CPD-15739	C12427
|Alkyl-Hydro-Peroxides|	C15498
MALTOHEXAOSE	C01936
CPD-7242	C15524
D-CARNITINE	C15025
CPD-17600	C10545
CPD-18787	C21368
CPD-8754	C09880
CPD-17779	C10211
BIO-5-AMP	C05921
CPD-8233	C09684
CPD-8853	C17756
CPD-17900	C20992
THIABENDAZOLE	C07131
AMINO-ETCETERA-PYRIDIN-1-YL-PROPANOATE	C04771
PROPIONYL_ADENYLATE	C05983
CPD0-2105	C05263
CPD-8678	C16321
CPD-15942	C12662
CPD-263	C01123
CPD-8990	C15998
CPD-15320	C20651
GLYCOPROTEIN-PHOSPHO-D-MANNOSE	C04010
CPD-19507	C08417
ERYTHRULOSE-1P	C03394
CPD-15459	C15658
CPD-7066	C06029
CPD0-2067	C06867
CPD-13874	C20177
CPD-16473	C06371
CPD-3766	C05377
N-HYDROXY-4-ACETYLAMINONBIPHENYL	C04081
CPD-9849	C21527
CPD-11938	C20690
|Long-chain-alcohols|	C00339
CPD-16812	C17960
|Me-CoM|	C03920
CPD-11743	C17948
GLC-6-P	C01172
CPD-16928	C20922
CPD-13827	C11990
CPD-13182	C19805
3-METHYLTHIOPROPYL-GLUCOSINOLATE	C08412
CPD-1774	C00651
CPD-336	C16600
CPD-6367	C15771
CPD0-1626	C06805
S-CITRAMALATE	C02614
CPD-8179	C02496
45-CIS-DIHYDROXY-12-DITHIACYCLOHEXANE	C06484
CPD-3481	C06860
CPD-10844	C18305
ALL-TRANS-PENTAPRENYL-DIPHOSPHATE	C04217
CPD-10110	C09183
ACETYLNEURAMINYL-23-BETA-D-GALACTOSYL-ET	C04936
CPD-11905	C21128
L-ORNITHINE	C00077
D-ALLULOSE-6-PHOSPHATE	C18096
CPD-8961	C10730
CPD-12946	C18822
CPD-102	C06103
12-EPOXYPROPANE	C15508
3-NITROTOLUENE	C19486
P-BENZOQUINONE	C00472
CPD-12563	C04864
GLYCOCHENODEOXYCHOLATE-7-SULFATE	C15559
HYPOTAURINE	C00519
UBIQUINONE-2	C00399
GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH	C15700
ALPHA-TOCOPHEROL	C02477
UDP-OHMYR-ACETYLGLUCOSAMINE	C04738
L-PANTOATE	C00522
CR+6	C19161
CPD3DJ-82	C12126
CPD-586	C01842
ACETYL-ETCETERA-L-ASPARAGINE	C04540
CPD-10113	C19815
XANTHOAPHIN	C01863
CPD-19260	C12012
GLUTACONYL-COA	C02411
SECOLOGANATE	C01957
7-CYANO-7-DEAZAGUANINE	C15996
|GLN-tRNAs|	C01640
CPD-13456	C10559
CPD0-2387	C12505
CPD-4223	C16231
CPD-16566	C00861
MG-PROTOPORPHYRIN	C03516
25-DICHLORO-CISCIS-MUCONATE	C07095
BISGLYCEROPHOSPHOGLYCEROL	C03853
CPD-294	C02222
HYGROMYCIN-B	C01925
N-ACETYL-D-GALACTOSAMINE-6-PHOSPHATE	C06376
CPD-7280	C14045
CPD-13875	C20177
CPD-474	C01617
CPD-7102	C11631
CPD-207	C00582
COFORMYCIN	C01677
|RHg|	C01343
CPD-542	C02914
CPD-11789	C21126
MALONATE-S-ALD	C00222
CPD-17365	C16173
CPD-4577	C15808
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	C04376
DEAMINOHYDROXYBLASTICIDIN-S	C03860
|Acyl-Phosphates|	C02133
C3	C04846
TETRACHLOROETHENE	C06789
CPD-7682	C00450
7-METHYLXANTHOSINE	C16352
CPD-15867	C01508
CPD-19133	C03604
GLC-1-P	C00103
CPD-10166	C20502
|tRNA-Sec|	C16636
GLC-D-LACTONE	C00198
DIIODO-L-TYROSINE	C01060
CPD-8910	C18167
MELIBIOSE	C05402
CPD-7078	C15925
|Polysaccharides|	C00420
CPD-13113	C19800
IMIDAZOLE-RING	C01589
URATE	C00366
CPD-11292	C16715
ACYLDOLICHOL	C01884
CPD-10551	C20959
CPD-13251	C17419
N-6-AMINOHEXANOYL-6-AMINOHEXANOATE	C01255
CPD-17501	C16225
CPD-351	C02537
CPD-17	C06719
|ETF-Oxidized|	C04253
CPD1F-132	C11874
CPD-11941	C05907
CPD-15156	C01624
CPD-10813	C07639
CPD-7411	C10101
CPD-1135	C12069
CPD-8633	C16408
S-N-METHYLCOCLAURINE	C05176
N5-ACYL-L-ORNITHINE	C02858
BENZYL-ALCOHOL	C00556
CPD-7168	C04280
CPD-471	C01205
|Anthocyanidin-3-O-beta-D-glucosides|	C15539
CPD-8625	C03633
CPD-7657	C07438
CPD-15285	C03298
CPD-8686	C16322
ALPHA-GLC-6-P	C00668
ADENOSYLCOBALAMIN-5-P	C21153
L-ERYTHRO-4-HYDROXY-GLUTAMATE	C05947
1-CARBOXYVINYL-CARBOXYPHOSPHONATE	C06367
CPD-19113	C21452
CPD-15245	C21079
CPD-9412	C19677
CPD0-2565	C01800
CPD-16911	C20856
D-CYSTEINE	C00793
CPD-7861	C15966
D-ALA-D-ALA	C00993
CPD-20241	C21796
2-3-CARBOXY-3-AMINOPROPYL-L-HISTIDINE	C04441
CPD-35	C02946
|Formyl-methanofurans|	C01001
7-METHYLXANTHINE	C16353
FRUCTOSE-16-DIPHOSPHATE	C05378
CPD-17880	C03665
CPD-20535	C06823
CPD-15177	C21727
MONO-VINYL-PROTOCHLOROPHYLLIDE-A	C02880
L-GULONO-1-4-LACTONE	C01040
CPD-15217	C11871
CIS-3-HEXENOL	C08492
4-HYDROXY-2-KETOVALERATE	C03589
GLC	C00221
LYS	C00047
CPD-16612	C21562
NALPHANALPHA-DIMETHYL-L-HISTIDINE	C04259
CPD-15720	C12424
UDP-N-ACETYL-2-AMINO-D-GLUCURONATE	C04573
BETA-D-FRUCTOSE	C02336
CPD-8569	C03317
CPD-10042	C11412
LINOLENOYL-COA	C16162
ALPHA-PINENE-OXIDE	C02759
CPD-10789	C05927
CPD-14875	C20799
BENZALDEHYDE	C00261
CPD-7424	C13431
CPD-2042	C02345
CPD-20497	C10018
CPD-7035	C05853
SINAPOYL-COA	C00411
CPD-10488	C15605
CPD-12288	C02515
ALPROSTADIL	C04741
CPD-10656	C04112
CPD-9533	C16189
5-METHYL-BARBITURATE	C05281
CPD-8986	C06176
CIS-2-CHLORO-4-CARBOXYMETHYLENEBUT-2-EN-	C04706
N-FORMIMINO-GLYCINE	C02718
L-CARNITINYL-COA	C20750
CPD-19188	C21451
NICOTINE	C00745
TRYPANOTHIONE-DISULFIDE	C03170
CPD-8129	C13503
CPD-15879	C08888
CPD-17787	C18836
CPD-495	C02405
CPD-18768	C12111
CPD-18890	C21435
ESTRONE-SULFATE	C02538
ZN+2	C00038
CPD-19003	C06548
CPD-13647	C17744
CPD-110	C00805
CPD-9470	C08950
3-KETO-ADIPYL-COA	C02232
CPD-10091	C07032
LUCIFERYL-SULFATE	C02555
CPD-9	C18799
CPD-19447	C12194
CPD-20014	C10195
PHYTOENE	C05413
CPD-6041	C01937
CPD-11860	C18348
|Cytochrome-c-L-lysine|	C03105
3-CARBOXY-3-HYDROXY-ISOCAPROATE	C02504
CPD-10586	c05444
CPD0-2066	C06879
14-DICHLOROBENZENE	C07092
CPD-19434	C21405
COUMARALDEHYDE	C05608
CPD-16588	C21737
CPD-15211	C20515
MG-PROTOPORPHYRIN-MONOMETHYL-ESTER	C04536
3-ALPHA-HYDROXYGLYCYRRHETINATE	C03930
CPD-8827	C12836
CPD-20465	C21785
CPD-821	C10172
CPD-8241	C09637
CPD-13776	C11911
44-DIMETHYL-824-CHOLESTADIENOL	C05108
CPD-11622	C19780
IDP	C00104
CPD0-2065	C06977
CPD-11533	C06083
CPD-229	C11870
CPD-16907	C20851
CPD-5441	C13482
CPD-10167	C20574
CPD-8133	C19275
CPD-13927	C20232
CPD-20797	C21840
ACTINOMYCIN-D	C06770
CPD-17096	C11688
CPD-14793	C06018
CPD-17531	C20940
CPD-323	C00599
FUM	C00122
CPD-237	C02693
CPD-7234	C15514
CPD-9446	C16538
CPD-12674	D09640
CPD-12585	C16502
-SABINONE	C01868
CU+2	C00070
ESTRONE	C00468
CPD-3402	C10503
CPD-14467	C20437
CPD-211	C04544
CPD-14668	C20488
CPD-15304	C20157
CPD-17670	C21091
|Cytochromes-C-Reduced|	C00126
ALPHA-D-GALACTOSYL-13-BETA-D-GALACTOS	C04847
LIMONOATE	C01593
CPD-487	C03851
CPD-9720	C21526
3-HYDROXY-1H-QUINOLIN-4-ONE	C11503
ADENYLOSUCC	C03794
CPD0-2107	C05262
CPD-3561	C07064
CPD-12484	C16364
CPD-8477	C08363
CPD-8658	C08537
CPDQT-40	C17231
CPD-16663	C20985
CPD-15032	C16282
